"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	198	3030522	6.5
	"Arkansas"	"05"	"2021"	"2021"	"Opium"	"T40.0"	0	3025891	Unreliable
	"Arkansas"	"05"	"2021"	"2021"	"Heroin"	"T40.1"	13	3025891	Unreliable
	"Arkansas"	"05"	"2021"	"2021"	"Other opioids"	"T40.2"	104	3025891	3.4
	"Arkansas"	"05"	"2021"	"2021"	"Methadone"	"T40.3"	14	3025891	Unreliable
	"Arkansas"	"05"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	315	3025891	10.4
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	3025891	Unreliable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	Suppressed	3025891	Suppressed
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	112	3025891	3.7
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	15	3025891	Unreliable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	323	3025891	10.7
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	3025891	Unreliable
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	Suppressed	3025891	Suppressed
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	41	3025891	1.4
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	Suppressed	3025891	Suppressed
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	144	3025891	4.8
	"California"	"06"	"2018"	"2018"	"Opium"	"T40.0"	0	39557045	Unreliable
	"California"	"06"	"2018"	"2018"	"Heroin"	"T40.1"	805	39557045	2.0
	"California"	"06"	"2018"	"2018"	"Other opioids"	"T40.2"	977	39557045	2.5
	"California"	"06"	"2018"	"2018"	"Methadone"	"T40.3"	250	39557045	0.6
	"California"	"06"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	890	39557045	2.2
	"California"	"06"	"2019"	"2019"	"Opium"	"T40.0"	Suppressed	39512223	Suppressed
	"California"	"06"	"2019"	"2019"	"Heroin"	"T40.1"	988	39512223	2.5
	"California"	"06"	"2019"	"2019"	"Other opioids"	"T40.2"	980	39512223	2.5
	"California"	"06"	"2019"	"2019"	"Methadone"	"T40.3"	224	39512223	0.6
	"California"	"06"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	1704	39512223	4.3
	"California"	"06"	"2020"	"2020"	"Opium"	"T40.0"	Suppressed	39368078	Suppressed
	"California"	"06"	"2020"	"2020"	"Heroin"	"T40.1"	1032	39368078	2.6
	"California"	"06"	"2020"	"2020"	"Other opioids"	"T40.2"	1047	39368078	2.7
	"California"	"06"	"2020"	"2020"	"Methadone"	"T40.3"	281	39368078	0.7
	"California"	"06"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	4063	39368078	10.3
	"California"	"06"	"2021"	"2021"	"Opium"	"T40.0"	0	39237836	Unreliable
	"California"	"06"	"2021"	"2021"	"Heroin"	"T40.1"	798	39237836	2.0
	"California"	"06"	"2021"	"2021"	"Other opioids"	"T40.2"	1096	39237836	2.8
	"California"	"06"	"2021"	"2021"	"Methadone"	"T40.3"	283	39237836	0.7
	"California"	"06"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	6136	39237836	15.6
	"California"	"06"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	39237836	Unreliable
	"California"	"06"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	521	39237836	1.3
	"California"	"06"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	1008	39237836	2.6
	"California"	"06"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	229	39237836	0.6
	"California"	"06"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	6665	39237836	17.0
	"California"	"06"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	39237836	Unreliable
	"California"	"06"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	205	39237836	0.5
	"California"	"06"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	489	39237836	1.2
	"California"	"06"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	157	39237836	0.4
	"California"	"06"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	4339	39237836	11.1
	"Colorado"	"08"	"2018"	"2018"	"Opium"	"T40.0"	0	5695564	Unreliable
	"Colorado"	"08"	"2018"	"2018"	"Heroin"	"T40.1"	243	5695564	4.3
	"Colorado"	"08"	"2018"	"2018"	"Other opioids"	"T40.2"	240	5695564	4.2
	"Colorado"	"08"	"2018"	"2018"	"Methadone"	"T40.3"	58	5695564	1.0
	"Colorado"	"08"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	140	5695564	2.5
	"Colorado"	"08"	"2019"	"2019"	"Opium"	"T40.0"	0	5758736	Unreliable
	"Colorado"	"08"	"2019"	"2019"	"Heroin"	"T40.1"	225	5758736	3.9
	"Colorado"	"08"	"2019"	"2019"	"Other opioids"	"T40.2"	258	5758736	4.5
	"Colorado"	"08"	"2019"	"2019"	"Methadone"	"T40.3"	40	5758736	0.7
	"Colorado"	"08"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	261	5758736	4.5
	"Colorado"	"08"	"2020"	"2020"	"Opium"	"T40.0"	0	5807719	Unreliable
	"Colorado"	"08"	"2020"	"2020"	"Heroin"	"T40.1"	225	5807719	3.9
	"Colorado"	"08"	"2020"	"2020"	"Other opioids"	"T40.2"	278	5807719	4.8
	"Colorado"	"08"	"2020"	"2020"	"Methadone"	"T40.3"	70	5807719	1.2
	"Colorado"	"08"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	603	5807719	10.4
	"Colorado"	"08"	"2021"	"2021"	"Opium"	"T40.0"	0	5812069	Unreliable
	"Colorado"	"08"	"2021"	"2021"	"Heroin"	"T40.1"	200	5812069	3.4
	"Colorado"	"08"	"2021"	"2021"	"Other opioids"	"T40.2"	303	5812069	5.2
	"Colorado"	"08"	"2021"	"2021"	"Methadone"	"T40.3"	59	5812069	1.0
	"Colorado"	"08"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	1005	5812069	17.3
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	5812069	Unreliable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	71	5812069	1.2
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	231	5812069	4.0
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	62	5812069	1.1
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	1005	5812069	17.3
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	5812069	Unreliable
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	25	5812069	0.4
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	137	5812069	2.4
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	28	5812069	0.5
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	780	5812069	13.4
	"Connecticut"	"09"	"2018"	"2018"	"Opium"	"T40.0"	0	3572665	Unreliable
	"Connecticut"	"09"	"2018"	"2018"	"Heroin"	"T40.1"	340	3572665	9.5
	"Connecticut"	"09"	"2018"	"2018"	"Other opioids"	"T40.2"	164	3572665	4.6
	"Connecticut"	"09"	"2018"	"2018"	"Methadone"	"T40.3"	84	3572665	2.4
	"Connecticut"	"09"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	773	3572665	21.6
	"Connecticut"	"09"	"2019"	"2019"	"Opium"	"T40.0"	0	3565287	Unreliable
	"Connecticut"	"09"	"2019"	"2019"	"Heroin"	"T40.1"	342	3565287	9.6
	"Connecticut"	"09"	"2019"	"2019"	"Other opioids"	"T40.2"	212	3565287	5.9
	"Connecticut"	"09"	"2019"	"2019"	"Methadone"	"T40.3"	89	3565287	2.5
	"Connecticut"	"09"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	960	3565287	26.9
	"Connecticut"	"09"	"2020"	"2020"	"Opium"	"T40.0"	0	3557006	Unreliable
	"Connecticut"	"09"	"2020"	"2020"	"Heroin"	"T40.1"	211	3557006	5.9
	"Connecticut"	"09"	"2020"	"2020"	"Other opioids"	"T40.2"	219	3557006	6.2
	"Connecticut"	"09"	"2020"	"2020"	"Methadone"	"T40.3"	114	3557006	3.2
	"Connecticut"	"09"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	1150	3557006	32.3
	"Connecticut"	"09"	"2021"	"2021"	"Opium"	"T40.0"	0	3605597	Unreliable
	"Connecticut"	"09"	"2021"	"2021"	"Heroin"	"T40.1"	119	3605597	3.3
	"Connecticut"	"09"	"2021"	"2021"	"Other opioids"	"T40.2"	190	3605597	5.3
	"Connecticut"	"09"	"2021"	"2021"	"Methadone"	"T40.3"	129	3605597	3.6
	"Connecticut"	"09"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	1294	3605597	35.9
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	3605597	Unreliable
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	97	3605597	2.7
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	200	3605597	5.5
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	125	3605597	3.5
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	1264	3605597	35.1
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	3605597	Unreliable
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	55	3605597	1.5
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	105	3605597	2.9
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	86	3605597	2.4
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	773	3605597	21.4
	"Delaware"	"10"	"2018"	"2018"	"Opium"	"T40.0"	0	967171	Unreliable
	"Delaware"	"10"	"2018"	"2018"	"Heroin"	"T40.1"	143	967171	14.8
	"Delaware"	"10"	"2018"	"2018"	"Other opioids"	"T40.2"	63	967171	6.5
	"Delaware"	"10"	"2018"	"2018"	"Methadone"	"T40.3"	26	967171	2.7
	"Delaware"	"10"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	297	967171	30.7
	"Delaware"	"10"	"2019"	"2019"	"Opium"	"T40.0"	0	973764	Unreliable
	"Delaware"	"10"	"2019"	"2019"	"Heroin"	"T40.1"	109	973764	11.2
	"Delaware"	"10"	"2019"	"2019"	"Other opioids"	"T40.2"	54	973764	5.5
	"Delaware"	"10"	"2019"	"2019"	"Methadone"	"T40.3"	28	973764	2.9
	"Delaware"	"10"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	343	973764	35.2
	"Delaware"	"10"	"2020"	"2020"	"Opium"	"T40.0"	0	986809	Unreliable
	"Delaware"	"10"	"2020"	"2020"	"Heroin"	"T40.1"	91	986809	9.2
	"Delaware"	"10"	"2020"	"2020"	"Other opioids"	"T40.2"	53	986809	5.4
	"Delaware"	"10"	"2020"	"2020"	"Methadone"	"T40.3"	35	986809	3.5
	"Delaware"	"10"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	364	986809	36.9
	"Delaware"	"10"	"2021"	"2021"	"Opium"	"T40.0"	0	1003384	Unreliable
	"Delaware"	"10"	"2021"	"2021"	"Heroin"	"T40.1"	67	1003384	6.7
	"Delaware"	"10"	"2021"	"2021"	"Other opioids"	"T40.2"	51	1003384	5.1
	"Delaware"	"10"	"2021"	"2021"	"Methadone"	"T40.3"	38	1003384	3.8
	"Delaware"	"10"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	415	1003384	41.4
	"Delaware"	"10"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	1003384	Unreliable
	"Delaware"	"10"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	54	1003384	5.4
	"Delaware"	"10"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	40	1003384	4.0
	"Delaware"	"10"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	32	1003384	3.2
	"Delaware"	"10"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	460	1003384	45.8
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	1003384	Unreliable
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	11	1003384	Unreliable
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	18	1003384	Unreliable
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	21	1003384	2.1
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	274	1003384	27.3
	"District of Columbia"	"11"	"2018"	"2018"	"Opium"	"T40.0"	0	702455	Unreliable
	"District of Columbia"	"11"	"2018"	"2018"	"Heroin"	"T40.1"	80	702455	11.4
	"District of Columbia"	"11"	"2018"	"2018"	"Other opioids"	"T40.2"	32	702455	4.6
	"District of Columbia"	"11"	"2018"	"2018"	"Methadone"	"T40.3"	10	702455	Unreliable
	"District of Columbia"	"11"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	162	702455	23.1
	"District of Columbia"	"11"	"2019"	"2019"	"Opium"	"T40.0"	0	705749	Unreliable
	"District of Columbia"	"11"	"2019"	"2019"	"Heroin"	"T40.1"	88	705749	12.5
	"District of Columbia"	"11"	"2019"	"2019"	"Other opioids"	"T40.2"	24	705749	3.4
	"District of Columbia"	"11"	"2019"	"2019"	"Methadone"	"T40.3"	16	705749	Unreliable
	"District of Columbia"	"11"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	220	705749	31.2
	"District of Columbia"	"11"	"2020"	"2020"	"Opium"	"T40.0"	0	712816	Unreliable
	"District of Columbia"	"11"	"2020"	"2020"	"Heroin"	"T40.1"	88	712816	12.3
	"District of Columbia"	"11"	"2020"	"2020"	"Other opioids"	"T40.2"	37	712816	5.2
	"District of Columbia"	"11"	"2020"	"2020"	"Methadone"	"T40.3"	32	712816	4.5
	"District of Columbia"	"11"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	318	712816	44.6
	"District of Columbia"	"11"	"2021"	"2021"	"Opium"	"T40.0"	0	670050	Unreliable
	"District of Columbia"	"11"	"2021"	"2021"	"Heroin"	"T40.1"	50	670050	7.5
	"District of Columbia"	"11"	"2021"	"2021"	"Other opioids"	"T40.2"	27	670050	4.0
	"District of Columbia"	"11"	"2021"	"2021"	"Methadone"	"T40.3"	22	670050	3.3
	"District of Columbia"	"11"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	334	670050	49.8
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	670050	Unreliable
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	41	670050	6.1
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	33	670050	4.9
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	22	670050	3.3
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	329	670050	49.1
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	670050	Unreliable
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	31	670050	4.6
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	11	670050	Unreliable
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	Suppressed	670050	Suppressed
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	195	670050	29.1
	"Florida"	"12"	"2018"	"2018"	"Opium"	"T40.0"	0	21299325	Unreliable
	"Florida"	"12"	"2018"	"2018"	"Heroin"	"T40.1"	692	21299325	3.2
	"Florida"	"12"	"2018"	"2018"	"Other opioids"	"T40.2"	1187	21299325	5.6
	"Florida"	"12"	"2018"	"2018"	"Methadone"	"T40.3"	192	21299325	0.9
	"Florida"	"12"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	2121	21299325	10.0
